"catmat","item","outcome","rmspe_norm_trat","rmspe_pre","p_slope_pre","slope_pct_pre","tipo","max_omega","n_omega_pos","hhi_concentracao","N0","T0","Y_real_medio_pre"
445484,"Água mineral sem gás descartável","n_fornecedores",0.6228,6.8035,0.476,-0.6,"II",0.02582,85,1.56,100,16,44.875
445484,"Água mineral sem gás descartável","n_combinacoes_unidade",0.7043,1.3114,0.008,-1.82,"III",0.03694,67,1.93,95,16,10
445484,"Água mineral sem gás descartável","median_preco",0.7112,0.2423,0.355,-0.6,"II",0.04093,70,1.26,73,16,2.1152
445485,"Água mineral sem gás retornável","n_fornecedores",0.9052,18.3376,0.855,-0.22,"I",0.04027,61,2.25,100,16,87.625
445485,"Água mineral sem gás retornável","n_combinacoes_unidade",0.6716,0.6813,0.208,1.05,"II",0.02959,80,1.66,95,16,4.6875
445485,"Água mineral sem gás retornável","median_preco",3.9423,0.2046,0,-5.94,"III",0.02679,73,1.17,73,16,0.4605
463990,"Açúcar cristal orgânico","n_fornecedores",1.2203,1.4036,0.01,-5.47,"III",0.05902,35,1.17,35,20,2.425
463990,"Açúcar cristal orgânico","n_combinacoes_unidade",0.8773,0.5949,0.703,0.63,"II",0.06692,48,2.12,65,20,1.475
463990,"Açúcar cristal orgânico","median_preco",0.9649,1.7256,0.185,-1.78,"II",0.07316,43,2.6,75,20,4.9703
603269,"Açúcar cristal comum","n_fornecedores",0.5879,13.5823,0.623,0.33,"I",0.12312,31,5.19,100,20,82.9
603269,"Açúcar cristal comum","n_combinacoes_unidade",0.7447,1.4751,0.439,-0.36,"I",0.06064,59,2.59,96,20,12.65
603269,"Açúcar cristal comum","median_preco",1.865,0.3192,0,-0.97,"III",0.03434,69,1.34,75,20,4.2133
606522,"Café torrado moído torra escura","n_fornecedores",0.6812,3.6443,0.042,-1.47,"III",0.0342,75,1.8,100,20,18.75
606522,"Café torrado moído torra escura","n_combinacoes_unidade",0.8268,0.8525,0.821,-0.17,"II",0.03619,72,1.8,95,20,4.7
606522,"Café torrado moído torra escura","median_preco",0.8335,2.0469,0.078,-0.48,"I",0.03475,62,1.3,62,20,29.5845
606523,"Café torrado moído torra média","n_fornecedores",0.5581,6.8734,0.456,-0.44,"II",0.03844,76,1.85,100,20,47.7
606523,"Café torrado moído torra média","n_combinacoes_unidade",0.9158,0.7443,0.926,0.05,"II",0.03193,79,1.6,96,20,6.15
606523,"Café torrado moído torra média","median_preco",0.9191,1.3975,0.03,-0.37,"III",0.03195,60,1.19,60,20,31.5718
606524,"Café torrado moído torra clara","n_fornecedores",0.6972,4.4737,0.705,-0.34,"I",0.04621,75,2.09,100,20,20.3
606524,"Café torrado moído torra clara","n_combinacoes_unidade",0.7094,0.759,0.529,-0.37,"II",0.03261,71,1.9,96,20,5.25
606524,"Café torrado moído torra clara","median_preco",0.9325,2.1548,0.177,-0.37,"I",0.03975,54,1.31,60,20,31.1587
