"catmat";"Item";"Variável";"Média pré";"ATT";"Δ%";"Ajuste (RMSPEn)";"Paralelismo (p incl.)";"Signif. (p ATT)";"Tipo"
445484;"Água mineral sem gás descartável";"Nº de fornecedores";"44,88";"+3,29";"+7,3%";"0,62";"0,476";"0,073";"II"
445484;"Água mineral sem gás descartável";"Nº de combinações";"10,00";"+0,13";"+1,3%";"0,70";"0,008";"0,796";"III"
445484;"Água mineral sem gás descartável";"Preço (mediana)";"2,12";"−0,45";"−21,2%";"0,71";"0,355";"0,418";"II"
445485;"Água mineral sem gás retornável";"Nº de fornecedores";"87,62";"−14,84";"−16,9%";"0,91";"0,855";"< 0,001";"I"
445485;"Água mineral sem gás retornável";"Nº de combinações";"4,69";"−0,19";"−4,1%";"0,67";"0,208";"0,626";"II"
445485;"Água mineral sem gás retornável";"Preço (mediana)";"0,46";"−0,29";"−62,2%";"3,94";"< 0,001";"0,567";"III"
463990;"Açúcar cristal orgânico";"Nº de fornecedores";"2,42";"+0,03";"+1,2%";"1,22";"0,010";"0,975";"III"
463990;"Açúcar cristal orgânico";"Nº de combinações";"1,48";"+0,15";"+10,1%";"0,88";"0,703";"0,471";"II"
463990;"Açúcar cristal orgânico";"Preço (mediana)";"4,97";"+0,10";"+2,1%";"0,96";"0,185";"0,886";"II"
603269;"Açúcar cristal comum";"Nº de fornecedores";"82,90";"−5,54";"−6,7%";"0,59";"0,623";"0,006";"I"
603269;"Açúcar cristal comum";"Nº de combinações";"12,65";"−2,11";"−16,7%";"0,74";"0,439";"< 0,001";"I"
603269;"Açúcar cristal comum";"Preço (mediana)";"4,21";"−0,32";"−7,5%";"1,86";"< 0,001";"0,620";"III"
606522;"Café torrado moído torra escura";"Nº de fornecedores";"18,75";"+1,13";"+6,0%";"0,68";"0,042";"0,408";"III"
606522;"Café torrado moído torra escura";"Nº de combinações";"4,70";"+0,03";"+0,7%";"0,83";"0,821";"0,925";"II"
606522;"Café torrado moído torra escura";"Preço (mediana)";"29,58";"+10,89";"+36,8%";"0,83";"0,078";"< 0,001";"I"
606523;"Café torrado moído torra média";"Nº de fornecedores";"47,70";"+1,97";"+4,1%";"0,56";"0,456";"0,327";"II"
606523;"Café torrado moído torra média";"Nº de combinações";"6,15";"+0,20";"+3,3%";"0,92";"0,926";"0,681";"II"
606523;"Café torrado moído torra média";"Preço (mediana)";"31,57";"+10,24";"+32,4%";"0,92";"0,030";"< 0,001";"III"
606524;"Café torrado moído torra clara";"Nº de fornecedores";"20,30";"−8,17";"−40,2%";"0,70";"0,705";"< 0,001";"I"
606524;"Café torrado moído torra clara";"Nº de combinações";"5,25";"−0,65";"−12,4%";"0,71";"0,529";"0,168";"II"
606524;"Café torrado moído torra clara";"Preço (mediana)";"31,16";"+7,02";"+22,5%";"0,93";"0,177";"0,003";"I"
