"catmat","item","outcome","ATT","SE_placebo","p_valor","sig","tipo"
445484,"Água mineral sem gás descartável","n_fornecedores",3.2875,1.8349,0.0732,"*","II"
445484,"Água mineral sem gás descartável","n_combinacoes_unidade",0.1325,0.5118,0.7957,"","III"
445484,"Água mineral sem gás descartável","median_preco",-0.4491,0.5539,0.4175,"","II"
445485,"Água mineral sem gás retornável","n_fornecedores",-14.844,1.8343,0,"***","I"
445485,"Água mineral sem gás retornável","n_combinacoes_unidade",-0.1906,0.3907,0.6257,"","II"
445485,"Água mineral sem gás retornável","median_preco",-0.2863,0.4995,0.5665,"","III"
463990,"Açúcar cristal orgânico","n_fornecedores",0.0296,0.9469,0.9751,"","III"
463990,"Açúcar cristal orgânico","n_combinacoes_unidade",0.149,0.2069,0.4713,"","II"
463990,"Açúcar cristal orgânico","median_preco",0.1022,0.7148,0.8863,"","II"
603269,"Açúcar cristal comum","n_fornecedores",-5.5408,2.0018,0.0056,"***","I"
603269,"Açúcar cristal comum","n_combinacoes_unidade",-2.1077,0.4935,0,"***","I"
603269,"Açúcar cristal comum","median_preco",-0.3154,0.6365,0.6202,"","III"
606522,"Café torrado moído torra escura","n_fornecedores",1.1319,1.3674,0.4078,"","III"
606522,"Café torrado moído torra escura","n_combinacoes_unidade",0.0339,0.3613,0.9252,"","II"
606522,"Café torrado moído torra escura","median_preco",10.892,2.506,0,"***","I"
606523,"Café torrado moído torra média","n_fornecedores",1.9672,2.0072,0.327,"","II"
606523,"Café torrado moído torra média","n_combinacoes_unidade",0.2006,0.4879,0.681,"","II"
606523,"Café torrado moído torra média","median_preco",10.2436,2.9603,5e-04,"***","III"
606524,"Café torrado moído torra clara","n_fornecedores",-8.1707,1.4241,0,"***","I"
606524,"Café torrado moído torra clara","n_combinacoes_unidade",-0.6488,0.4705,0.1679,"","II"
606524,"Café torrado moído torra clara","median_preco",7.0233,2.34,0.0027,"***","I"
