"catmat","item_tratado","outcome","doador_catmat","descricao_doador","omega"
445484,"Água mineral sem gás descartável","n_fornecedores","447720","EMBUTIDO, TIPO: SALSICHA HOT DOG , TIPO PREPARAÇÃO: COZIDA , ESTADO DE CONSERVAÇÃO: RESFRIADO(A) ",0.23338495808444
445484,"Água mineral sem gás descartável","n_fornecedores","217784","REFRIGERANTE, MATERIAL: ÁGUA GASOSA/XAROPE , SABOR: COLA ",0.20622236190169
445484,"Água mineral sem gás descartável","n_fornecedores","463938","CONDIMENTO, TIPO: ALHO , APRESENTAÇÃO: NATURAL , ADICIONAL: CABEÇA ",0.175119407610336
445484,"Água mineral sem gás descartável","n_fornecedores","463778","LEGUME IN NATURA, TIPO: CHUCHU VERDE ",0.162706356076273
445484,"Água mineral sem gás descartável","n_fornecedores","446633","QUEIJO, ORIGEM: DE VACA , VARIEDADE: MUÇARELA , APRESENTAÇÃO: PEÇA ",0.101239185330689
445484,"Água mineral sem gás descartável","n_fornecedores","463692","ÓLEO VEGETAL COMESTÍVEL, TIPO: PURO , ESPÉCIE VEGETAL: SOJA , TIPO QUALIDADE: TIPO 1 ",0.0686154974650686
445484,"Água mineral sem gás descartável","n_fornecedores","217781","REFRIGERANTE, MATERIAL: ÁGUA GASOSA/XAROPE , SABOR: LARANJA ",0.0527122335315037
445484,"Água mineral sem gás descartável","n_combinacoes_unidade","339479","TEMPERO, TIPO: CALDO , APRESENTAÇÃO: PÓ , APLICAÇÃO: USO CULINÁRIO , SABOR: CARNE ",0.268675981150459
445484,"Água mineral sem gás descartável","n_combinacoes_unidade","461710","MOLHO DE MESA, TIPO: BARBECUE , COMPOSIÇÃO: TRADICIONAL , APRESENTAÇÃO: LÍQUIDO ",0.143368752525869
445484,"Água mineral sem gás descartável","n_combinacoes_unidade","447702","EMBUTIDO, TIPO: LINGUIÇA CALABRESA , TAMANHO: GROSSA , TIPO PREPARAÇÃO: DEFUMADA , ESTADO DE CONSERVAÇÃO: RESFRIADO(A) ",0.13898258188502
445484,"Água mineral sem gás descartável","n_combinacoes_unidade","481109","VERDURA IN NATURA*, TIPO: COUVE , ESPÉCIE: COMUM/MANTEIGA , CARACTERÍSTICAS ADICIONAIS: 1ª QUALIDADE/FOLHA VERDE VIVO/SEM FUNGOS. ",0.110417157509159
445484,"Água mineral sem gás descartável","n_combinacoes_unidade","466788","LEGUME EM CONSERVA, TIPO: ALCAPARRA ",0.102214055270331
445484,"Água mineral sem gás descartável","n_combinacoes_unidade","446397","MANTEIGA, TIPO: EXTRA , COMPOSIÇÃO: COM SAL , TRATAMENTO: MATURADA ",0.0956699028145483
445484,"Água mineral sem gás descartável","n_combinacoes_unidade","459586","FERMENTO, TIPO: QUÍMICO , APRESENTAÇÃO: PÓ ",0.0775400393917508
445484,"Água mineral sem gás descartável","n_combinacoes_unidade","235092","BISCOITO, APRESENTAÇÃO: QUADRADO , CLASSIFICAÇÃO: SALGADO , TIPO: CREAM CRACKER ",0.0543758540394521
