"catmat";"Item";"Variável";"Média pré";"ATT";"Δ%";"Ajuste (RMSPEn)";"Paralelismo (p incl.)";"Signif. (p ATT)";"Tipo"
445484;"Água mineral sem gás descartável";"Nº de fornecedores";"44,88";"+3,18";"+7,1%";"0,51";"0,452";"0,082";"II"
445484;"Água mineral sem gás descartável";"Nº de combinações";"10,00";"+0,22";"+2,2%";"0,62";"0,012";"0,698";"III"
445484;"Água mineral sem gás descartável";"Preço (mediana)";"2,12";"−0,26";"−12,3%";"0,28";"0,633";"0,648";"II"
445485;"Água mineral sem gás retornável";"Nº de fornecedores";"87,62";"−15,67";"−17,9%";"0,87";"0,838";"< 0,001";"I"
445485;"Água mineral sem gás retornável";"Nº de combinações";"4,69";"−0,23";"−4,9%";"0,46";"0,289";"0,610";"II"
445485;"Água mineral sem gás retornável";"Preço (mediana)";"0,46";"−0,08";"−16,4%";"0,56";"0,032";"0,880";"III"
463990;"Açúcar cristal orgânico";"Nº de fornecedores";"2,42";"+0,05";"+2,1%";"0,92";"0,021";"0,962";"III"
463990;"Açúcar cristal orgânico";"Nº de combinações";"1,48";"+0,23";"+15,3%";"0,74";"0,887";"0,276";"II"
463990;"Açúcar cristal orgânico";"Preço (mediana)";"4,97";"−0,27";"−5,4%";"0,89";"0,317";"0,716";"II"
603269;"Açúcar cristal comum";"Nº de fornecedores";"82,90";"−6,76";"−8,1%";"0,54";"0,363";"< 0,001";"I"
603269;"Açúcar cristal comum";"Nº de combinações";"12,65";"−2,12";"−16,8%";"0,63";"0,196";"< 0,001";"I"
603269;"Açúcar cristal comum";"Preço (mediana)";"4,21";"−0,01";"−0,3%";"0,84";"0,004";"0,985";"III"
606522;"Café torrado moído torra escura";"Nº de fornecedores";"18,75";"+1,61";"+8,6%";"0,52";"0,031";"0,216";"III"
606522;"Café torrado moído torra escura";"Nº de combinações";"4,70";"+0,16";"+3,5%";"0,66";"0,566";"0,680";"II"
606522;"Café torrado moído torra escura";"Preço (mediana)";"29,58";"+10,96";"+37,0%";"0,55";"0,390";"< 0,001";"I"
606523;"Café torrado moído torra média";"Nº de fornecedores";"47,70";"+2,48";"+5,2%";"0,46";"0,410";"0,187";"II"
606523;"Café torrado moído torra média";"Nº de combinações";"6,15";"+0,33";"+5,3%";"0,63";"0,587";"0,534";"II"
606523;"Café torrado moído torra média";"Preço (mediana)";"31,57";"+11,10";"+35,2%";"0,28";"0,305";"< 0,001";"I"
606524;"Café torrado moído torra clara";"Nº de fornecedores";"20,30";"−8,26";"−40,7%";"0,50";"0,874";"< 0,001";"I"
606524;"Café torrado moído torra clara";"Nº de combinações";"5,25";"−0,52";"−9,9%";"0,53";"0,241";"0,304";"II"
606524;"Café torrado moído torra clara";"Preço (mediana)";"31,16";"+6,76";"+21,7%";"0,63";"0,119";"0,006";"I"
