"catmat","item","outcome","ATT","SE_placebo","p_valor","sig","tipo"
445484,"Água mineral sem gás descartável","n_fornecedores",3.1816,1.8284,0.0818,"*","II"
445484,"Água mineral sem gás descartável","n_combinacoes_unidade",0.2163,0.5582,0.6984,"","III"
445484,"Água mineral sem gás descartável","median_preco",-0.2601,0.5697,0.648,"","II"
445485,"Água mineral sem gás retornável","n_fornecedores",-15.6745,1.7897,0,"***","I"
445485,"Água mineral sem gás retornável","n_combinacoes_unidade",-0.2314,0.4532,0.6096,"","II"
445485,"Água mineral sem gás retornável","median_preco",-0.0756,0.5022,0.8804,"","III"
463990,"Açúcar cristal orgânico","n_fornecedores",0.0505,1.0507,0.9617,"","III"
463990,"Açúcar cristal orgânico","n_combinacoes_unidade",0.2263,0.2079,0.2765,"","II"
463990,"Açúcar cristal orgânico","median_preco",-0.2666,0.7338,0.7163,"","II"
603269,"Açúcar cristal comum","n_fornecedores",-6.7553,1.8352,2e-04,"***","I"
603269,"Açúcar cristal comum","n_combinacoes_unidade",-2.1209,0.5462,1e-04,"***","I"
603269,"Açúcar cristal comum","median_preco",-0.013,0.6767,0.9847,"","III"
606522,"Café torrado moído torra escura","n_fornecedores",1.6148,1.3041,0.2156,"","III"
606522,"Café torrado moído torra escura","n_combinacoes_unidade",0.1635,0.3965,0.6801,"","II"
606522,"Café torrado moído torra escura","median_preco",10.9609,2.7545,1e-04,"***","I"
606523,"Café torrado moído torra média","n_fornecedores",2.4818,1.8811,0.187,"","II"
606523,"Café torrado moído torra média","n_combinacoes_unidade",0.326,0.5245,0.5342,"","II"
606523,"Café torrado moído torra média","median_preco",11.0991,2.9172,1e-04,"***","I"
606524,"Café torrado moído torra clara","n_fornecedores",-8.2602,1.3797,0,"***","I"
606524,"Café torrado moído torra clara","n_combinacoes_unidade",-0.5192,0.5049,0.3037,"","II"
606524,"Café torrado moído torra clara","median_preco",6.7603,2.4832,0.0065,"***","I"
